plant,process,master_data_name,location,immobilization_number,year,equipment_commercialized,pdr_commercialized,age,degradability,production_hours,hp_coefficient,replacement_parts,maintenance_mttr_mtbf,technology,aging_result,equipment_status
LTN3B,Cutting Machine Tube,Ulmer--SM 15/2P,coupe,immo481981,2008,TRUE,TRUE,17,0.7,5107,1,0,0,0,0.52,Moyen
LTN3B,Cutting Machine Wire < 6mm2,Komax--Alpha 355,coupe,4141150502,2015,FALSE,TRUE,10,0.4,5107,1,0,0,1,0.39,Bon
LTN3B,Cutting Machine Wire < 6mm2,Komax--Gamma 333,coupe,2141230701,2011,FALSE,TRUE,14,0.4,5107,1,0,0,1,0.39,Bon
LTN3B,Cutting Machine Hot,HSGM--HSG-G2S,coupe,2141050303,2005,TRUE,TRUE,20,0.7,5107,1,0,0,0,0.52,Moyen
LTN3B,Cutting Machine Hot,HSGM--HSG-G2S,coupe,2141200801,2020,TRUE,TRUE,5,0,5107,1,0,0,0,0.1,Excellent
LTN3B,Cutting Machine Wire < 6mm2,Komax--Alpha 355 S,coupe,2141110304,2011,FALSE,TRUE,14,0.4,5107,1,0,0,1,0.39,Bon
LTN3B,Cutting Machine Wire < 6mm2,Komax--Alpha 355 S,coupe,2141150601,2015,FALSE,TRUE,10,0.4,5107,1,0,0,1,0.39,Bon
LTN3B,Cutting Machine Wire < 6mm2,Komax--Alpha 355 S,coupe,2141081102,2011,FALSE,TRUE,14,0.4,5107,1,0,0,1,0.39,Bon
LTN3B,Cutting Machine Wire < 6mm2,Komax--Alpha 355 S,coupe,2141110302,2011,FALSE,TRUE,14,0.4,5107,1,0,0,1,0.39,Bon
LTN3B,Cutting Machine Wire < 6mm2,Komax--Alpha 355 S,coupe,2141120211,2012,FALSE,TRUE,13,0.4,5107,1,0,0,1,0.39,Bon
LTN3B,Cutting Machine Wire < 6mm2,Komax--Alpha 355 S,coupe,2141120210,2012,FALSE,TRUE,13,0.4,5107,1,0,0,1,0.39,Bon
LTN3B,Cutting Machine Wire < 6mm2,Komax--Alpha 433 S,coupe,2141010701,2001,FALSE,FALSE,24,1,5107,1,1,0,1,0.95,Besoin Upgrade
LTN3B,Cutting Machine Wire < 6mm2,Komax--Alpha 433,coupe,2141030405,2002,FALSE,FALSE,23,1,5107,1,1,0,1,0.95,Besoin Upgrade
LTN3B,Cutting Machine Wire < 6mm2,Komax--Alpha 433 S,coupe,2141000906,1998,FALSE,FALSE,27,1,5107,1,1,0,1,0.95,Besoin Upgrade
LTN3B,Cutting Machine Wire < 6mm2,Komax--Gamma 333,coupe,214108716,2008,FALSE,TRUE,17,0.7,5107,1,0,0,1,0.57,Moyen
LTN3B,Cutting Machine Wire < 6mm2,Komax--Gamma 333,coupe,21411120601,2011,FALSE,TRUE,14,0.4,5107,1,0,0,1,0.39,Bon
LTN3B,Cutting Machine Wire < 6mm2,Komax--Gamma 333,coupe,2141080714,2008,FALSE,TRUE,17,0.7,5107,1,0,0,1,0.57,Moyen
LTN3B,Cutting Machine Wire < 6mm2,Komax--Gamma 333,coupe,4141071104,2005,FALSE,TRUE,20,0.7,5107,1,0,0,1,0.57,Moyen
LTN3B,Cutting Machine Wire < 6mm2,Komax--Gamma 333,coupe,4141080201,2005,FALSE,TRUE,20,0.7,5107,1,0,0,1,0.57,Moyen
LTN3B,Cutting Machine Cable > 6mm2,Komax--Kappa 330,coupe,immo522115,2018,FALSE,FALSE,7,0.4,5107,1,1,0,1,0.59,Moyen
LTN3B,Cutting Machine Cable > 6mm2,Schleuniger--PowerStrip 9550,coupe,2141120301,2012,FALSE,TRUE,13,0.4,5107,1,0,0,1,0.39,Bon
LTN3B,Cutting Machine Cable > 6mm2,Komax--Kappa 240,coupe,2141030401,2002,FALSE,FALSE,23,1,5107,1,1,0,1,0.95,Besoin Upgrade
LTN3B,Cutting Machine Wire < 6mm2,Komax--Alpha 488 S,coupe,2141170301,2015,FALSE,TRUE,10,0.4,5107,1,0,0,1,0.39,Bon
LTN3B,Cutting Machine Wire < 6mm2,Komax--Alpha 488 S,coupe,2141050304,2016,FALSE,TRUE,9,0.4,5107,1,0,0,1,0.39,Bon
LTN3B,Cutting Machine Wire < 6mm2,Komax--Alpha 550,coupe,4141161203,2015,TRUE,TRUE,10,0.4,5107,1,0,0,0,0.34,Bon
LTN3B,Twisting Machine,Komax--BT-188T,vkf,2280200301,2020,TRUE,TRUE,5,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Test Module,Mecalbi--STCS-BLTTS,vkf,immo290570,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110200603,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110200604,2020,TRUE,TRUE,5,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Ultrasonic Welding Machine,Schunk--Minic III,vkf,immo697321,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110210903,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Taping Machine,Kabatec--KTS 50 Comfort,vkf,2143211103,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Shrinking Machine Processor,Mecalbi--STCS-VMir+,vkf,immo370659,2020,TRUE,TRUE,5,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110210902,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,vkf,2200200703,2018,TRUE,TRUE,7,0.4,3920,0.75,0,0,0,0.315,Bon
LTN3B,Shrinking Machine Tunnel,DSG Canusa--DERAY FST- 165/ 600,vkf,2200231201,2024,TRUE,TRUE,1,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Taping Machine,Kabatec--KTS 50 Comfort,vkf,immo853818,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110200603,2020,TRUE,TRUE,5,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110210905,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,vkf,2110111004,2011,FALSE,TRUE,14,0.4,3920,0.75,0,0,0,0.315,Bon
LTN3B,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110200602,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,vkf,2200800701,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110210904,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,vkf,2200200703,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Taping Machine,Kabatec--KTB E9P Taping Machine,vkf,immo203532,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Taping Machine,Kabatec--KTS 50 Comfort,vkf,2143211104,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110180701,2018,TRUE,TRUE,7,0.4,3920,0.75,0,0,0,0.315,Bon
LTN3B,Ultrasonic Welding Machine,Schunk--Minic III,vkf,8110191001,2020,TRUE,TRUE,5,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Taping Machine,Kabatec--KTS 50 Comfort,vkf,2143211101,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Taping Machine,Kabatec--KTB E9P Taping Machine,vkf,4143190402,2019,TRUE,TRUE,6,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Taping Machine,Kabatec--KTB E9P Taping Machine,vkf,2236201106,2020,TRUE,TRUE,5,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110210901,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,vkf,2200200702,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,vkf,2200191001,2020,TRUE,TRUE,5,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,vkf,immo262112,2011,FALSE,TRUE,14,0.4,3920,0.75,0,0,0,0.315,Bon
LTN3B,Taping Machine,Kabatec--KTS 50 Comfort,vkf,2143211101,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110200605,2020,TRUE,TRUE,5,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,vkf,immo270774,2021,FALSE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Taping Machine,Kabatec--KTS 50 Comfort,vkf,2143191001,2019,TRUE,TRUE,6,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,vkf,2110110404,2011,FALSE,TRUE,14,0.4,3920,0.75,0,0,0,0.315,Bon
LTN3B,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,vkf,immo259928,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,vkf,4200180601,2018,TRUE,TRUE,7,0.4,3920,0.75,0,0,0,0.315,Bon
LTN3B,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,vkf,2200180605,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,vkf,immo623385,2021,FALSE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,vkf,2110110801,2011,FALSE,TRUE,14,0.4,3920,0.75,0,0,0,0.315,Bon
LTN3B,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,vkf,immo182250,2011,FALSE,TRUE,14,0.4,3920,0.75,0,0,0,0.315,Bon
LTN3B,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,vkf,4110101003,2010,FALSE,TRUE,15,0.7,3920,0.75,0,0,0,0.495,Moyen
LTN3B,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,vkf,2200190901,2019,TRUE,TRUE,6,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,vkf,4110130401,2013,FALSE,TRUE,12,0.4,3920,0.75,0,0,0,0.315,Bon
LTN3B,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,vkf,4200180406,2018,TRUE,TRUE,7,0.4,3920,0.75,0,0,0,0.315,Bon
LTN3B,Crimping Press Wire < 6mm2,Schaefer--EPS 2001,vkf,2142110604,2011,TRUE,TRUE,14,0.4,3920,0.75,0,0,0,0.315,Bon
LTN3B,Crimping Press Wire < 6mm2,Komax--BT-752,vkf,2142211201,2021,FALSE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Crimping Press Wire < 6mm2,Komax--BT-752,vkf,2142190401,2019,FALSE,TRUE,6,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Crimping Press Wire < 6mm2,Komax--BT-722,vkf,2142200201,2020,FALSE,TRUE,5,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Crimping Press Wire < 6mm2,Komax--BT-722,vkf,2142200804,2022,FALSE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Crimping Press Wire < 6mm2,Komax--BT-722,vkf,2142190201,2019,FALSE,TRUE,6,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Crimping Press Wire < 6mm2,Komax--BT-722,vkf,2142200805,2021,FALSE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Crimping Press Wire < 6mm2,Komax--BT-722,vkf,2142211101,2022,FALSE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Crimping Press Wire < 6mm2,Schaefer--EPS 2001,vkf,2142111112,2011,TRUE,TRUE,14,0.4,3920,0.75,0,0,0,0.315,Bon
LTN3B,Untwisting Machine,Schaefer--MC 2X1.5 Untwisting Machine,vkf,2141210902,2021,TRUE,TRUE,4,0,3920,0.75,0,0,0,0.075,Excellent
LTN3B,Untwisting Machine,Schaefer--MC 2X1.5 Untwisting Machine,vkf,21002110121,2022,TRUE,TRUE,3,0,3920,0.75,0,0,0,0.075,Excellent
