plant,process,master_data_name,location,immobilization_number,serial_number,year,equipment_commercialized,pdr_commercialized,age,degradability,production_hours,hp_coefficient,replacement_parts,maintenance_mttr_mtbf,technology,aging_result,equipment_status,RUL
LTN3B,Cutting Machine Tube,Ulmer--SM 15/2P,coupe,immo648572,9063,2008,True,True,17,0.7,5107,1.0,0,0,0,0.52,Moyen,4
LTN3B,Cutting Machine Wire < 6mm2,Komax--Alpha 355,coupe,4141150502,2622,2015,False,True,10,0.4,5107,1.0,0,0,1,0.39,Bon,8
LTN3B,Cutting Machine Wire < 6mm2,Komax--Gamma 333,coupe,2141230701,1978,2011,False,True,14,0.4,5107,1.0,0,0,1,0.39,Bon,7
LTN3B,Cutting Machine Hot,HSGM--HSG-G2S,coupe,2141050303,205112,2005,True,True,20,0.7,5107,1.0,0,0,0,0.52,Moyen,6
LTN3B,Cutting Machine Hot,HSGM--HSG-G2S,coupe,2141200801,620275,2020,True,True,5,0.0,5107,1.0,0,0,0,0.1,Excellent,15
LTN3B,Cutting Machine Wire < 6mm2,Komax--Alpha 355 S,coupe,2141110304,771,2011,False,True,14,0.4,5107,1.0,0,0,1,0.39,Bon,4
LTN3B,Cutting Machine Wire < 6mm2,Komax--Alpha 355 S,coupe,2141150601,2620,2015,False,True,10,0.4,5107,1.0,0,0,1,0.39,Bon,13
LTN3B,Cutting Machine Wire < 6mm2,Komax--Alpha 355 S,coupe,2141081102,875,2011,False,True,14,0.4,5107,1.0,0,0,1,0.39,Bon,7
LTN3B,Cutting Machine Wire < 6mm2,Komax--Alpha 355 S,coupe,2141110302,772,2011,False,True,14,0.4,5107,1.0,0,0,1,0.39,Bon,3
LTN3B,Cutting Machine Wire < 6mm2,Komax--Alpha 355 S,coupe,2141120211,1128,2012,False,True,13,0.4,5107,1.0,0,0,1,0.39,Bon,7
LTN3B,Cutting Machine Wire < 6mm2,Komax--Alpha 355 S,coupe,2141120210,1127,2012,False,True,13,0.4,5107,1.0,0,0,1,0.39,Bon,4
LTN3B,Cutting Machine Wire < 6mm2,Komax--Alpha 433 S,coupe,2141010701,698,2001,False,False,24,1.0,5107,1.0,1,0,1,0.95,Besoin Upgrade,0
LTN3B,Cutting Machine Wire < 6mm2,Komax--Alpha 433,coupe,2141030405,909,2002,False,False,23,1.0,5107,1.0,1,0,1,0.95,Besoin Upgrade,1
LTN3B,Cutting Machine Wire < 6mm2,Komax--Alpha 433 S,coupe,2141000906,115,1998,False,False,27,1.0,5107,1.0,1,0,1,0.95,Besoin Upgrade,0
LTN3B,Cutting Machine Wire < 6mm2,Komax--Gamma 333,coupe,214108716,3086,2008,False,True,17,0.7,5107,1.0,0,0,1,0.57,Moyen,0
LTN3B,Cutting Machine Wire < 6mm2,Komax--Gamma 333,coupe,21411120601,3812,2011,False,True,14,0.4,5107,1.0,0,0,1,0.39,Bon,3
LTN3B,Cutting Machine Wire < 6mm2,Komax--Gamma 333,coupe,2141080714,3084,2008,False,True,17,0.7,5107,1.0,0,0,1,0.57,Moyen,0
LTN3B,Cutting Machine Wire < 6mm2,Komax--Gamma 333,coupe,4141071104,2292,2005,False,True,20,0.7,5107,1.0,0,0,1,0.57,Moyen,2
LTN3B,Cutting Machine Wire < 6mm2,Komax--Gamma 333,coupe,4141080201,2312,2005,False,True,20,0.7,5107,1.0,0,0,1,0.57,Moyen,0
LTN3B,Cutting Machine Cable > 6mm2,Komax--Kappa 330,coupe,immo405239,896,2018,False,False,7,0.4,5107,1.0,1,0,1,0.59,Moyen,9
LTN3B,Cutting Machine Cable > 6mm2,Schleuniger--PowerStrip 9550,coupe,2141120301,125,2012,False,True,13,0.4,5107,1.0,0,0,1,0.39,Bon,10
LTN3B,Cutting Machine Cable > 6mm2,Komax--Kappa 240,coupe,2141030401,76,2002,False,False,23,1.0,5107,1.0,1,0,1,0.95,Besoin Upgrade,0
LTN3B,Cutting Machine Wire < 6mm2,Komax--Alpha 488 S,coupe,2141170301,1113,2015,False,True,10,0.4,5107,1.0,0,0,1,0.39,Bon,9
LTN3B,Cutting Machine Wire < 6mm2,Komax--Alpha 488 S,coupe,2141050304,1165,2016,False,True,9,0.4,5107,1.0,0,0,1,0.39,Bon,6
LTN3B,Cutting Machine Wire < 6mm2,Komax--Alpha 550,coupe,4141161203,72,2015,True,True,10,0.4,5107,1.0,0,0,0,0.34,Bon,7
LTN3B,Twisting Machine,Komax--BT-188T,vkf,2280200301,605,2020,True,True,5,0.0,3920,0.75,0,0,0,0.075,Excellent,16
LTN3B,Test Module,Mecalbi--STCS-BLTTS,vkf,immo913519,55,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,17
LTN3B,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110200603,5535,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,19
LTN3B,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110200604,5537-1,2020,True,True,5,0.0,3920,0.75,0,0,0,0.075,Excellent,15
LTN3B,Ultrasonic Welding Machine,Schunk--Minic III,vkf,immo424540,6140-1,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,18
LTN3B,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110210903,2614-3,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,17
LTN3B,Taping Machine,Kabatec--KTS 50 Comfort,vkf,2143211103,1474,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,20
LTN3B,Shrinking Machine Processor,Mecalbi--STCS-VMir+,vkf,immo184781,202,2020,True,True,5,0.0,3920,0.75,0,0,0,0.075,Excellent,16
LTN3B,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110210902,2614-2,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,17
LTN3B,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,vkf,2200200703,223,2018,True,True,7,0.4,3920,0.75,0,0,0,0.315,Bon,15
LTN3B,Shrinking Machine Tunnel,DSG Canusa--DERAY FST- 165/ 600,vkf,2200231201,T04-M-44312/SB1009/062,2024,True,True,1,0.0,3920,0.75,0,0,0,0.075,Excellent,25
LTN3B,Taping Machine,Kabatec--KTS 50 Comfort,vkf,immo329950,1569,2022,True,True,3,0.0,3920,0.75,0,0,0,0.075,Excellent,20
LTN3B,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110200603,5537-2,2020,True,True,5,0.0,3920,0.75,0,0,0,0.075,Excellent,13
LTN3B,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110210905,2614-5,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,17
LTN3B,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,vkf,2110111004,2772-2,2011,False,True,14,0.4,3920,0.75,0,0,0,0.315,Bon,6
LTN3B,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110200602,4257-6,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,19
LTN3B,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,vkf,2200800701,507,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,18
LTN3B,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110210904,2614-4,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,18
LTN3B,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,vkf,2200200703,506,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,18
LTN3B,Taping Machine,Kabatec--KTB E9P Taping Machine,vkf,immo447001,1038,2022,True,True,3,0.0,3920,0.75,0,0,0,0.075,Excellent,19
LTN3B,Taping Machine,Kabatec--KTS 50 Comfort,vkf,2143211104,1475,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,17
LTN3B,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110180701,8640,2018,True,True,7,0.4,3920,0.75,0,0,0,0.315,Bon,12
LTN3B,Ultrasonic Welding Machine,Schunk--Minic III,vkf,8110191001,90077,2020,True,True,5,0.0,3920,0.75,0,0,0,0.075,Excellent,18
LTN3B,Taping Machine,Kabatec--KTS 50 Comfort,vkf,2143211101,1471,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,19
LTN3B,Taping Machine,Kabatec--KTB E9P Taping Machine,vkf,4143190402,825,2019,True,True,6,0.0,3920,0.75,0,0,0,0.075,Excellent,11
LTN3B,Taping Machine,Kabatec--KTB E9P Taping Machine,vkf,2236201106,916,2020,True,True,5,0.0,3920,0.75,0,0,0,0.075,Excellent,17
LTN3B,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110210901,2614-1,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,18
LTN3B,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,vkf,2200200702,558,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,17
LTN3B,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,vkf,2200191001,409,2020,True,True,5,0.0,3920,0.75,0,0,0,0.075,Excellent,17
LTN3B,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,vkf,immo576949,2712-1,2011,False,True,14,0.4,3920,0.75,0,0,0,0.315,Bon,9
LTN3B,Taping Machine,Kabatec--KTS 50 Comfort,vkf,2143211101,1472,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,19
LTN3B,Ultrasonic Welding Machine,Schunk--Minic III,vkf,2110200605,5532,2020,True,True,5,0.0,3920,0.75,0,0,0,0.075,Excellent,15
LTN3B,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,vkf,immo154714,6140-2,2021,False,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,18
LTN3B,Taping Machine,Kabatec--KTS 50 Comfort,vkf,2143191001,1178,2019,True,True,6,0.0,3920,0.75,0,0,0,0.075,Excellent,15
LTN3B,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,vkf,2110110404,7393-3,2011,False,True,14,0.4,3920,0.75,0,0,0,0.315,Bon,8
LTN3B,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,vkf,immo412986,425,2022,True,True,3,0.0,3920,0.75,0,0,0,0.075,Excellent,20
LTN3B,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,vkf,4200180601,198,2018,True,True,7,0.4,3920,0.75,0,0,0,0.315,Bon,13
LTN3B,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,vkf,2200180605,562,2022,True,True,3,0.0,3920,0.75,0,0,0,0.075,Excellent,19
LTN3B,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,vkf,immo994454,6140-3,2021,False,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,17
LTN3B,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,vkf,2110110801,3324-1,2011,False,True,14,0.4,3920,0.75,0,0,0,0.315,Bon,8
LTN3B,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,vkf,immo552429,7167,2011,False,True,14,0.4,3920,0.75,0,0,0,0.315,Bon,10
LTN3B,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,vkf,4110101003,4830-3,2010,False,True,15,0.7,3920,0.75,0,0,0,0.495,Moyen,5
LTN3B,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,vkf,2200190901,403,2019,True,True,6,0.0,3920,0.75,0,0,0,0.075,Excellent,16
LTN3B,Ultrasonic Welding Machine,Schunk--Minic II Automatic PC,vkf,4110130401,2053-1,2013,False,True,12,0.4,3920,0.75,0,0,0,0.315,Bon,8
LTN3B,Shrinking Machine Processor,Mecalbi--STCS-Evo500TS,vkf,4200180406,150,2018,True,True,7,0.4,3920,0.75,0,0,0,0.315,Bon,12
LTN3B,Crimping Press Wire < 6mm2,Schaefer--EPS 2001,vkf,2142110604,4343,2011,True,True,14,0.4,3920,0.75,0,0,0,0.315,Bon,7
LTN3B,Crimping Press Wire < 6mm2,Komax--BT-752,vkf,2142211201,717,2021,False,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,20
LTN3B,Crimping Press Wire < 6mm2,Komax--BT-752,vkf,2142190401,568,2019,False,True,6,0.0,3920,0.75,0,0,0,0.075,Excellent,14
LTN3B,Crimping Press Wire < 6mm2,Komax--BT-722,vkf,2142200201,1488,2020,False,True,5,0.0,3920,0.75,0,0,0,0.075,Excellent,19
LTN3B,Crimping Press Wire < 6mm2,Komax--BT-722,vkf,2142200804,1487,2022,False,True,3,0.0,3920,0.75,0,0,0,0.075,Excellent,18
LTN3B,Crimping Press Wire < 6mm2,Komax--BT-722,vkf,2142190201,1291,2019,False,True,6,0.0,3920,0.75,0,0,0,0.075,Excellent,16
LTN3B,Crimping Press Wire < 6mm2,Komax--BT-722,vkf,2142200805,1423,2021,False,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,18
LTN3B,Crimping Press Wire < 6mm2,Komax--BT-722,vkf,2142211101,1706,2022,False,True,3,0.0,3920,0.75,0,0,0,0.075,Excellent,20
LTN3B,Crimping Press Wire < 6mm2,Schaefer--EPS 2001,vkf,2142111112,4462,2011,True,True,14,0.4,3920,0.75,0,0,0,0.315,Bon,6
LTN3B,Untwisting Machine,Schaefer--MC 2X1.5 Untwisting Machine,vkf,2141210902,127,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,16
LTN3B,Untwisting Machine,Schaefer--MC 2X1.5 Untwisting Machine,vkf,21002110121,0721-011,2022,True,True,3,0.0,3920,0.75,0,0,0,0.075,Excellent,20
LTN3B,Untwisting Machine,Schaefer--MC 2X1.5 Untwisting Machine,vkf,2141221269,150,2022,True,True,3,0.0,3920,0.75,0,0,0,0.075,Excellent,21
LTN3B,Taping Machine,Kabatec--KTB E9P Taping Machine,vkf,2143221202,1072,2022,True,True,3,0.0,3920,0.75,0,0,0,0.075,Excellent,22
LTN3B,Taping Machine,Kabatec--KTB E9P Taping Machine,vkf,2143221201,1087,2022,True,True,3,0.0,3920,0.75,0,0,0,0.075,Excellent,20
LTN3B,Untwisting Machine,Schaefer--MC 2X1.5 Untwisting Machine,vkf,2141210901,126,2021,True,True,4,0.0,3920,0.75,0,0,0,0.075,Excellent,17
LTN3B,Stripping Machine,Schleuniger--JS 8400,vkf,immo416179,1640,2018,True,True,7,0.4,3920,0.75,0,0,0,0.315,Bon,12
LTN3B,Stripping Machine,Komax--Mira 230,vkf,2120181103,4199,2018,True,True,7,0.4,3920,0.75,0,0,0,0.315,Bon,15
